origen,destino,autor_id,video_id,autor,video,canal,peso,tipo_arista
a:UCyJhqmMbsvjpoarBBStA2kg,v:6W4u8sGEnGM,UCyJhqmMbsvjpoarBBStA2kg,6W4u8sGEnGM,@Murmullodelbarrio,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,6,autor-video
a:UCi2KiZq63sRq8Mfbcp-MelQ,v:OkXlHx0hx-8,UCi2KiZq63sRq8Mfbcp-MelQ,OkXlHx0hx-8,@eugeneramirez4405,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,6,autor-video
a:UC5H8ASmMC9WrURmzeB4ySog,v:n8iP75gIpmw,UC5H8ASmMC9WrURmzeB4ySog,n8iP75gIpmw,@ManuelEdran,Qué rico come tu diputado,Quorum,5,autor-video
a:UCV3fr-YOixFKCZBbJP1-X4w,v:6W4u8sGEnGM,UCV3fr-YOixFKCZBbJP1-X4w,6W4u8sGEnGM,@albertoshernandez5251,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,5,autor-video
a:UC9vMq1YF-e7C-VO0SHkbUTA,v:n8iP75gIpmw,UC9vMq1YF-e7C-VO0SHkbUTA,n8iP75gIpmw,@ErvinLeonardoCarreraLatín,Qué rico come tu diputado,Quorum,4,autor-video
a:UC3XTwHxygNCgjndsg-UiCQA,v:n8iP75gIpmw,UC3XTwHxygNCgjndsg-UiCQA,n8iP75gIpmw,@marioajset4283,Qué rico come tu diputado,Quorum,3,autor-video
a:UChs3tU2BcKOT0CezykvAsGw,v:n8iP75gIpmw,UChs3tU2BcKOT0CezykvAsGw,n8iP75gIpmw,@byronpontaza,Qué rico come tu diputado,Quorum,3,autor-video
a:UCg3eIfd7BrsLEqS0BLkftHA,v:PjmxCj-a9Hg,UCg3eIfd7BrsLEqS0BLkftHA,PjmxCj-a9Hg,@ErmePérez-q4s,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,3,autor-video
a:UCFjudnPLoaSL1BaRuLahyHg,v:n8iP75gIpmw,UCFjudnPLoaSL1BaRuLahyHg,n8iP75gIpmw,@HaroldoCastillo-rh9iw,Qué rico come tu diputado,Quorum,3,autor-video
a:UCNIeXbV_mEwpa412h1aqUWw,v:PjmxCj-a9Hg,UCNIeXbV_mEwpa412h1aqUWw,PjmxCj-a9Hg,@juandeleon9060,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,3,autor-video
a:UCh5ESQvtzyHDhCA7XyekCFA,v:n8iP75gIpmw,UCh5ESQvtzyHDhCA7XyekCFA,n8iP75gIpmw,@andyB5280,Qué rico come tu diputado,Quorum,3,autor-video
a:UC72gBAtyb_VXQlYDcFrh6oQ,v:n8iP75gIpmw,UC72gBAtyb_VXQlYDcFrh6oQ,n8iP75gIpmw,@osmanmorales3012,Qué rico come tu diputado,Quorum,3,autor-video
a:UCNBnKqWf4d-rS4HwJRQljmQ,v:n8iP75gIpmw,UCNBnKqWf4d-rS4HwJRQljmQ,n8iP75gIpmw,@LE_A22,Qué rico come tu diputado,Quorum,2,autor-video
a:UCtNyHmRZtvGF2hSvI2dUBWw,v:PjmxCj-a9Hg,UCtNyHmRZtvGF2hSvI2dUBWw,PjmxCj-a9Hg,@aureliomaldonado4793,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,2,autor-video
