origen,destino,origen_id,destino_id,origen_etiqueta,destino_etiqueta,peso,tipo_arista
v:j43HgwYFKfk,v:n8iP75gIpmw,j43HgwYFKfk,n8iP75gIpmw,La cooptación de Walter Mazariegos en la USAC,Qué rico come tu diputado,2,video-video
v:yLZS3JiEBg8,v:ndAZjHqzzT8,yLZS3JiEBg8,ndAZjHqzzT8,Arroz con pollo a la MONOPOLIO,Internet: escoger el menos malo,2,video-video
v:j43HgwYFKfk,v:is3Mk5oC19g,j43HgwYFKfk,is3Mk5oC19g,La cooptación de Walter Mazariegos en la USAC,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,1,video-video
v:j43HgwYFKfk,v:ndAZjHqzzT8,j43HgwYFKfk,ndAZjHqzzT8,La cooptación de Walter Mazariegos en la USAC,Internet: escoger el menos malo,1,video-video
v:06mFNPU0aB8,v:6W4u8sGEnGM,06mFNPU0aB8,6W4u8sGEnGM,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Inician los trabajos de recuperación del Puente Belice II.,1,video-video
v:yLZS3JiEBg8,v:WIUZtitfLRw,yLZS3JiEBg8,WIUZtitfLRw,Arroz con pollo a la MONOPOLIO,Caminar en una ciudad hecha para carros,1,video-video
v:n8iP75gIpmw,v:ndAZjHqzzT8,n8iP75gIpmw,ndAZjHqzzT8,Qué rico come tu diputado,Internet: escoger el menos malo,1,video-video
v:n8iP75gIpmw,v:PjmxCj-a9Hg,n8iP75gIpmw,PjmxCj-a9Hg,Qué rico come tu diputado,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,1,video-video
v:n8iP75gIpmw,v:b_Hkrkl3adA,n8iP75gIpmw,b_Hkrkl3adA,Qué rico come tu diputado,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,1,video-video
v:ndAZjHqzzT8,v:WIUZtitfLRw,ndAZjHqzzT8,WIUZtitfLRw,Internet: escoger el menos malo,Caminar en una ciudad hecha para carros,1,video-video
v:6W4u8sGEnGM,v:PjmxCj-a9Hg,6W4u8sGEnGM,PjmxCj-a9Hg,Inician los trabajos de recuperación del Puente Belice II.,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,1,video-video
