nodo_id,tipo,id_original,etiqueta,grado,grado_ponderado,handle,canal,categoria,vistas,me_gusta,respuestas
a:UCi2KiZq63sRq8Mfbcp-MelQ,autor,UCi2KiZq63sRq8Mfbcp-MelQ,@eugeneramirez4405,1,6,@eugeneramirez4405,,,,1.0,0.0
a:UCyJhqmMbsvjpoarBBStA2kg,autor,UCyJhqmMbsvjpoarBBStA2kg,@Murmullodelbarrio,1,6,@Murmullodelbarrio,,,,14.0,0.0
a:UC5H8ASmMC9WrURmzeB4ySog,autor,UC5H8ASmMC9WrURmzeB4ySog,@ManuelEdran,1,5,@ManuelEdran,,,,6.0,0.0
a:UCV3fr-YOixFKCZBbJP1-X4w,autor,UCV3fr-YOixFKCZBbJP1-X4w,@albertoshernandez5251,1,5,@albertoshernandez5251,,,,17.0,0.0
a:UCvcu1kR8xMYy_I1Ty-2mV2Q,autor,UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,3,4,@hashojea7348,,,,0.0,0.0
a:UC9vMq1YF-e7C-VO0SHkbUTA,autor,UC9vMq1YF-e7C-VO0SHkbUTA,@ErvinLeonardoCarreraLatín,1,4,@ErvinLeonardoCarreraLat%C3%ADn,,,,0.0,0.0
a:UCh5ESQvtzyHDhCA7XyekCFA,autor,UCh5ESQvtzyHDhCA7XyekCFA,@andyB5280,1,3,@andyB5280,,,,4.0,0.0
a:UChs3tU2BcKOT0CezykvAsGw,autor,UChs3tU2BcKOT0CezykvAsGw,@byronpontaza,1,3,@byronpontaza,,,,4.0,0.0
a:UCFjudnPLoaSL1BaRuLahyHg,autor,UCFjudnPLoaSL1BaRuLahyHg,@HaroldoCastillo-rh9iw,1,3,@HaroldoCastillo-rh9iw,,,,3.0,0.0
a:UC3XTwHxygNCgjndsg-UiCQA,autor,UC3XTwHxygNCgjndsg-UiCQA,@marioajset4283,1,3,@marioajset4283,,,,2.0,0.0
a:UC72gBAtyb_VXQlYDcFrh6oQ,autor,UC72gBAtyb_VXQlYDcFrh6oQ,@osmanmorales3012,1,3,@osmanmorales3012,,,,19.0,0.0
a:UCpsKOkt5iWTbenzeuq7dsmQ,autor,UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,3,3,@inge_vergueta,,,,4.0,0.0
a:UCNIeXbV_mEwpa412h1aqUWw,autor,UCNIeXbV_mEwpa412h1aqUWw,@juandeleon9060,1,3,@juandeleon9060,,,,3.0,1.0
a:UCHTGCgY2l-DQJIvlA_cpa_Q,autor,UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,2,3,@virgiliogarcia3039,,,,14.0,0.0
a:UCg3eIfd7BrsLEqS0BLkftHA,autor,UCg3eIfd7BrsLEqS0BLkftHA,@ErmePérez-q4s,1,3,@ErmeP%C3%A9rez-q4s,,,,0.0,0.0
a:UCylqlpsh8ENNM1LqgQ1KbxA,autor,UCylqlpsh8ENNM1LqgQ1KbxA,@Jel.Awesh.M,2,3,@Jel.Awesh.M,,,,1.0,0.0
a:UCdFlugHJJa4l3YqWuNRmvXw,autor,UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,2,2,@MarcosCarillo-b1r,,,,0.0,1.0
a:UCut6b9S98nv84cVX89PmKzA,autor,UCut6b9S98nv84cVX89PmKzA,@yeniferaguirre4498,1,2,@yeniferaguirre4498,,,,1.0,0.0
a:UCOLGv5Pf6BF2wFcwUzgcvHg,autor,UCOLGv5Pf6BF2wFcwUzgcvHg,@welfrealdana5559,1,2,@welfrealdana5559,,,,4.0,0.0
a:UCAxvOOHQk7dYPOajzFEVtbA,autor,UCAxvOOHQk7dYPOajzFEVtbA,@ruddydepaz322,1,2,@ruddydepaz322,,,,0.0,0.0
a:UCQ_-LPP8JAbfkc-b1Q6NvWw,autor,UCQ_-LPP8JAbfkc-b1Q6NvWw,@MegaKristenstewart,1,2,@MegaKristenstewart,,,,31.0,0.0
